n,edgeList,queries
,"[469, 225, 436]","[83606, 24962, 442603106]"
,"[834, 285, 46]","[73440, 14913, 158099414]"
,"[834, 285, 419]","[67597, 8811, 794972986]"
,"[377, 44, 9]","[10661, 63334, 233074596]"
,"[377, 44, 211]","[87941, 9974, 959776099]"
,"[420, 308, 43]","[347, 41685, 176141397]"
,"[420, 308, 355]","[89340, 98026, 807426950]"
,"[104, 729, 39]","[10491, 43166, 444024589]"
,"[104, 729, 391]","[23923, 65299, 988739436]"
,"[175, 257, 11]","[73096, 96907, 223005893]"
,"[175, 257, 407]","[9275, 16463, 243649812]"
,"[332, 646, 49]","[36130, 19199, 659535689]"
,"[332, 646, 298]","[89485, 83435, 653417762]"
,"[694, 946, 49]","[21600, 50320, 273421954]"
,"[694, 946, 168]","[62752, 50368, 696440344]"
,"[340, 179, 45]","[79566, 54317, 344079983]"
,"[340, 179, 489]","[6700, 32148, 13510364]"
,"[905, 704, 25]","[8462, 68951, 362046542]"
,"[905, 704, 441]","[2397, 59043, 684295141]"
,"[493, 69, 26]","[63669, 24707, 32638414]"
,"[493, 69, 109]","[81299, 48926, 366021908]"
,"[623, 933, 42]","[87542, 79974, 784824524]"
,"[623, 933, 329]","[64553, 58826, 673942198]"
,"[391, 523, 45]","[15018, 34679, 228801602]"
,"[391, 523, 479]","[82393, 84527, 971284125]"
,"[238, 515, 42]","[90835, 56757, 606087452]"
,"[238, 515, 460]","[97224, 12556, 990097542]"
,"[13, 238, 6]","[58285, 8788, 344814355]"
,"[13, 238, 415]","[79757, 87973, 91910873]"
,"[777, 918, 12]","[17063, 7435, 302969187]"
,"[777, 918, 258]","[49679, 40178, 316633853]"
,"[242, 755, 32]","[38581, 53091, 138362852]"
,"[242, 755, 487]","[61581, 34517, 72859640]"
,"[249, 634, 10]","[27816, 88476, 651125617]"
,"[249, 634, 130]","[63653, 39894, 448992700]"
,"[140, 383, 36]","[53184, 80474, 609243828]"
,"[140, 383, 251]","[30236, 39831, 766623832]"
,"[206, 155, 29]","[56820, 39367, 639857698]"
,"[206, 155, 204]","[7710, 46640, 738257184]"
,"[657, 38, 20]","[60526, 41189, 174913533]"
,"[657, 38, 471]","[344, 59464, 958826409]"
,"[612, 968, 33]","[22588, 99412, 332672771]"
,"[612, 968, 478]","[72750, 85144, 446145228]"
,"[898, 336, 13]","[26197, 14000, 711032343]"
,"[898, 336, 242]","[8902, 31283, 293556587]"
,"[325, 659, 7]","[26478, 29050, 900483250]"
,"[325, 659, 366]","[83704, 73529, 100295289]"
,"[810, 424, 46]","[24720, 20017, 11939753]"
,"[810, 424, 247]","[85085, 13957, 461979902]"
,"[768, 24, 19]","[2980, 62409, 410682970]"
,"[768, 24, 475]","[19221, 50436, 364465887]"
,"[339, 350, 20]","[3932, 55930, 335474162]"
,"[339, 350, 205]","[98799, 95917, 30341901]"
,"[552, 55, 47]","[28112, 53343, 580673406]"
,"[552, 55, 227]","[39039, 0, 783392153]"
,"[820, 703, 49]","[53051, 77310, 483170869]"
,"[820, 703, 468]","[21061, 20653, 382443575]"
,"[227, 622, 29]","[88959, 60621, 200720150]"
,"[227, 622, 366]","[32168, 83972, 72691418]"
,"[329, 187, 33]","[16525, 14197, 39704555]"
,"[329, 187, 422]","[59055, 24081, 809697982]"
,"[6, 66, 36]","[49537, 40116, 161857214]"
,"[6, 66, 135]","[64196, 24439, 346698211]"
,"[976, 197, 8]","[8339, 52292, 41041204]"
,"[976, 197, 424]","[89170, 77981, 873651680]"
,"[144, 960, 18]","[55126, 34253, 494954444]"
,"[144, 960, 164]","[64018, 11035, 433573397]"
,"[93, 177, 42]","[42921, 27419, 374632931]"
,"[93, 177, 381]","[36309, 31379, 858695368]"
,"[851, 814, 18]","[32935, 57313, 639461369]"
,"[851, 814, 220]","[79334, 88279, 329334809]"
,"[519, 80, 32]","[93768, 68503, 16589086]"
,"[519, 80, 471]","[42726, 63700, 67319401]"
,"[478, 318, 15]","[67432, 11380, 996602235]"
,"[478, 318, 469]","[73198, 65369, 560933198]"
,"[202, 250, 32]","[10657, 63420, 492495066]"
,"[202, 250, 190]","[4597, 79246, 518950298]"
,"[620, 254, 24]","[51481, 25236, 200099019]"
,"[620, 254, 246]","[80213, 94716, 159753222]"
,"[590, 459, 45]","[27378, 58345, 205902786]"
,"[590, 459, 203]","[17466, 26919, 375205289]"
,"[278, 883, 35]","[15162, 37714, 836083251]"
,"[278, 883, 140]","[20419, 96762, 245607062]"
,"[973, 995, 28]","[97924, 92725, 771520453]"
,"[973, 995, 303]","[42078, 39223, 316553003]"
,"[386, 171, 35]","[90735, 32013, 197003343]"
,"[386, 171, 325]","[37640, 1447, 560120367]"
,"[432, 517, 44]","[90280, 52223, 261661194]"
,"[432, 517, 476]","[17971, 67673, 215173505]"
,"[443, 778, 14]","[13017, 56948, 587333633]"
,"[443, 778, 346]","[98446, 20406, 727172777]"
,"[20, 780, 29]","[50164, 71872, 569518871]"
,"[20, 780, 318]","[97089, 23008, 508518051]"
,"[874, 85, 24]","[261, 67286, 438945472]"
,"[874, 85, 404]","[87238, 85103, 392581567]"
,"[550, 156, 40]","[5445, 95673, 174639956]"
,"[550, 156, 472]","[8849, 95945, 775581155]"
,"[179, 263, 29]","[28742, 55297, 52047925]"
,"[179, 263, 337]","[65756, 5392, 416320260]"
,"[313, 464, 23]","[5923, 73602, 946100871]"
,"[313, 464, 292]","[29189, 83202, 83910635]"
,"[575, 620, 35]","[96030, 92405, 510397947]"
,"[575, 620, 136]","[35526, 83436, 727660547]"
,"[341, 139, 50]","[17928, 63524, 278192604]"
,"[341, 139, 340]","[37354, 69490, 929914370]"
,"[200, 158, 17]","[77815, 77933, 590760523]"
,"[200, 158, 102]","[70791, 15589, 409398546]"
,"[13, 882, 37]","[97463, 92538, 600462979]"
,"[13, 882, 473]","[90682, 72287, 253040861]"
,"[742, 383, 36]","[85427, 39996, 537918991]"
,"[742, 383, 307]","[93385, 38388, 181357589]"
,"[947, 425, 30]","[54655, 23845, 788821948]"
,"[947, 425, 480]","[48823, 94216, 21812943]"
,"[382, 393, 36]","[38344, 10076, 133750951]"
,"[382, 393, 257]","[73455, 42485, 867084593]"
,"[656, 602, 9]","[47504, 52504, 373782961]"
,"[656, 602, 309]","[62611, 56086, 108554570]"
,"[906, 39, 12]","[3010, 72451, 959807820]"
,"[906, 39, 297]","[21311, 68233, 877391232]"
,"[954, 579, 15]","[67793, 30849, 278207612]"
,"[954, 579, 199]","[56169, 74604, 53837809]"
,"[781, 446, 21]","[79276, 81, 404218941]"
,"[781, 446, 494]","[79276, 45231, 350227110]"
,"[935, 769, 27]","[32901, 46671, 704799479]"
,"[935, 769, 360]","[50425, 97987, 828384985]"
,"[726, 500, 45]","[26206, 25425, 343637700]"
,"[726, 500, 452]","[20043, 42713, 981339773]"
,"[377, 713, 8]","[23895, 55167, 80886827]"
,"[377, 713, 433]","[41562, 75655, 588553871]"
,"[394, 948, 32]","[97355, 24439, 409089349]"
,"[394, 948, 476]","[67359, 12562, 741432589]"
,"[252, 248, 35]","[6876, 41569, 689663836]"
,"[252, 248, 117]","[55852, 17551, 365948868]"
,"[943, 832, 28]","[5877, 56159, 403760488]"
,"[943, 832, 423]","[71817, 5394, 208377182]"
,"[723, 692, 6]","[82698, 50661, 977415282]"
,"[723, 692, 457]","[6778, 22061, 439354809]"
,"[681, 660, 14]","[41511, 16316, 940946184]"
,"[681, 660, 233]","[97595, 50094, 245695161]"
,"[619, 466, 48]","[41581, 84439, 221982489]"
,"[619, 466, 175]","[62800, 25207, 712739791]"
,"[260, 253, 43]","[17314, 27584, 867898969]"
,"[260, 253, 396]","[38372, 23829, 892663090]"
,"[974, 678, 15]","[79634, 7248, 19222708]"
,"[974, 678, 106]","[331, 90617, 273441910]"
,"[119, 789, 10]","[64639, 55036, 806596847]"
,"[119, 789, 429]","[52384, 80629, 702255565]"
,"[728, 938, 29]","[33421, 41433, 646499868]"
,"[728, 938, 303]","[20542, 56778, 540733638]"
,"[723, 600, 10]","[3438, 71222, 810901831]"
,"[723, 600, 365]","[60881, 30062, 44157488]"
,"[931, 193, 32]","[94308, 74796, 50310059]"
,"[931, 193, 184]","[75147, 82232, 350269855]"
,"[849, 437, 21]","[21573, 28247, 932060001]"
,"[849, 437, 454]","[28799, 50067, 203380686]"
,"[309, 512, 39]","[15145, 33400, 360422437]"
,"[309, 512, 437]","[35465, 82889, 443183985]"
,"[907, 391, 42]","[11195, 47505, 193787942]"
,"[907, 391, 257]","[23839, 92769, 372065898]"
,"[751, 421, 10]","[49015, 42281, 109644684]"
,"[751, 421, 155]","[76235, 85546, 420791245]"
,"[651, 586, 27]","[65156, 41222, 526051494]"
,"[651, 586, 173]","[64686, 56295, 87406385]"
,"[275, 766, 18]","[57228, 34974, 777125218]"
,"[275, 766, 483]","[98786, 65572, 63766878]"
,"[407, 715, 24]","[36036, 21374, 824197241]"
,"[407, 715, 103]","[83709, 15216, 837696272]"
,"[172, 835, 36]","[1400, 2436, 672822948]"
,"[172, 835, 100]","[1127, 56111, 925137823]"
,"[99, 71, 49]","[16420, 16209, 746897923]"
,"[99, 71, 313]","[71924, 22574, 226053237]"
,"[537, 426, 46]","[48340, 69079, 457173929]"
,"[537, 426, 247]","[26741, 51866, 256623920]"
,"[750, 441, 15]","[96069, 71400, 477323843]"
,"[750, 441, 190]","[72417, 75203, 218642454]"
,"[383, 190, 50]","[11325, 84369, 287676667]"
,"[383, 190, 168]","[92427, 68259, 868494078]"
,"[202, 498, 16]","[78778, 7920, 324496782]"
,"[202, 498, 357]","[36607, 74247, 826580709]"
,"[971, 112, 33]","[44534, 23843, 441158389]"
,"[971, 112, 390]","[49645, 51117, 911152960]"
,"[833, 217, 16]","[36241, 48090, 501805199]"
,"[833, 217, 202]","[7549, 86696, 912437727]"
,"[60, 767, 16]","[19851, 91041, 850518133]"
,"[60, 767, 488]","[53573, 86304, 910989046]"
,"[196, 265, 31]","[79024, 15640, 960038860]"
,"[196, 265, 325]","[40754, 66806, 731883011]"
,"[641, 934, 44]","[1391, 33726, 46848721]"
,"[641, 934, 155]","[48748, 34480, 109767153]"
,"[889, 651, 15]","[19928, 63531, 238721574]"
,"[889, 651, 140]","[27204, 37605, 393779140]"
,"[300, 87, 29]","[6181, 93546, 828082375]"
,"[300, 87, 163]","[90804, 47513, 968958676]"
,"[283, 65, 26]","[50168, 91924, 202196946]"
,"[283, 65, 115]","[47270, 28467, 987055410]"
,"[599, 240, 35]","[84788, 69472, 317343478]"
,"[599, 240, 348]","[62524, 54447, 185103435]"
,"[688, 778, 11]","[27924, 51324, 151652133]"
,"[688, 778, 104]","[20103, 68293, 550748783]"
,"[62, 272, 5]","[19853, 89787, 663347864]"
,"[62, 272, 440]","[49344, 85619, 61471615]"
,"[596, 808, 7]","[60856, 16068, 247567051]"
,"[596, 808, 149]","[41706, 61834, 642018196]"
,"[216, 534, 5]","[86268, 50141, 438996385]"
,"[216, 534, 292]","[78713, 96969, 656663778]"
,"[617, 532, 22]","[38908, 32250, 349150937]"
,"[617, 532, 348]","[51434, 79261, 838928056]"
,"[484, 775, 26]","[46873, 90409, 973011950]"
,"[484, 775, 409]","[86199, 13306, 853767121]"
,"[439, 344, 28]","[30028, 76686, 319963965]"
,"[439, 344, 449]","[61052, 42115, 638241283]"
,"[911, 351, 25]","[40034, 30171, 291812122]"
,"[911, 351, 222]","[80168, 50684, 484468585]"
,"[963, 369, 47]","[60255, 73605, 507429907]"
,"[963, 369, 304]","[84228, 29786, 490168448]"
,"[387, 625, 8]","[8808, 87245, 390827489]"
,"[387, 625, 282]","[24037, 92727, 536662633]"
,"[894, 338, 11]","[25825, 29180, 60762431]"
,"[894, 338, 101]","[85422, 97108, 55271129]"
,"[467, 891, 49]","[56112, 18168, 934945650]"
,"[467, 891, 305]","[62637, 57686, 153035564]"
,"[742, 855, 13]","[83147, 60399, 94319147]"
,"[742, 855, 113]","[8321, 82653, 264109746]"
,"[616, 125, 38]","[42659, 83437, 429314507]"
,"[616, 125, 243]","[77697, 36313, 892510965]"
,"[973, 716, 20]","[63701, 91741, 783278429]"
,"[973, 716, 288]","[8818, 22128, 465161301]"
,"[462, 633, 48]","[63607, 29335, 452439270]"
,"[462, 633, 437]","[43782, 7207, 504987415]"
,"[890, 486, 37]","[97225, 27241, 946385470]"
,"[890, 486, 311]","[31791, 15578, 726803908]"
,"[676, 192, 5]","[33135, 3640, 510632324]"
,"[676, 192, 426]","[33678, 79348, 823135502]"
,"[980, 964, 25]","[1036, 834, 457633611]"
,"[980, 964, 108]","[66204, 32720, 720213614]"
,"[648, 368, 7]","[21303, 57175, 155446063]"
,"[648, 368, 476]","[5717, 23169, 711885123]"
,"[333, 694, 33]","[14205, 94782, 998653862]"
,"[333, 694, 219]","[21976, 28972, 24143141]"
,"[621, 496, 30]","[76337, 1631, 940356151]"
,"[621, 496, 478]","[69330, 55873, 118832368]"
,"[627, 813, 10]","[20748, 2174, 540965089]"
,"[627, 813, 278]","[71428, 45054, 602617544]"
,"[438, 961, 35]","[27694, 8070, 411254421]"
,"[438, 961, 437]","[99074, 43163, 422861132]"
,"[877, 716, 11]","[87935, 31045, 247223443]"
,"[877, 716, 475]","[91141, 47972, 215766336]"
,"[394, 300, 43]","[49978, 69206, 928871585]"
,"[394, 300, 199]","[47935, 92121, 213692592]"
,"[729, 146, 38]","[5523, 84566, 145821907]"
,"[729, 146, 392]","[87157, 34017, 82375550]"
,"[803, 877, 50]","[91674, 91598, 578481738]"
,"[803, 877, 358]","[56637, 41342, 528161947]"
,"[32, 130, 36]","[18194, 28681, 463424571]"
,"[32, 130, 144]","[38425, 446, 212852094]"
,"[308, 852, 48]","[3105, 94966, 412111960]"
,"[308, 852, 380]","[64455, 42106, 64349386]"
,"[895, 478, 15]","[81146, 97927, 989144544]"
,"[895, 478, 328]","[78517, 98058, 102819702]"
,"[977, 118, 35]","[73839, 91569, 485583426]"
,"[977, 118, 439]","[43511, 41738, 340932048]"
,"[553, 246, 20]","[85672, 40591, 744171848]"
,"[553, 246, 208]","[87534, 99033, 670340115]"
,"[174, 771, 47]","[1948, 38378, 524960684]"
,"[174, 771, 458]","[50294, 83231, 463781065]"
,"[91, 108, 32]","[28686, 77392, 46818460]"
,"[91, 108, 466]","[47100, 90431, 467021767]"
,"[29, 164, 25]","[45776, 18350, 623335277]"
,"[29, 164, 296]","[43644, 23305, 422091273]"
,"[784, 287, 19]","[25598, 48582, 638346322]"
,"[784, 287, 468]","[6767, 36423, 215598918]"
,"[263, 681, 35]","[35895, 17370, 31128887]"
,"[263, 681, 443]","[60846, 45750, 478082415]"
,"[126, 681, 13]","[61797, 51612, 418028542]"
,"[126, 681, 373]","[9562, 32236, 1822546]"
,"[648, 742, 36]","[29511, 2247, 919925218]"
,"[648, 742, 146]","[53334, 85408, 6281058]"
,"[814, 708, 26]","[13908, 77590, 341740451]"
,"[814, 708, 214]","[50489, 57620, 528300284]"
,"[954, 589, 43]","[25364, 12057, 853251863]"
,"[954, 589, 133]","[69848, 72180, 299337799]"
,"[659, 351, 29]","[18846, 18745, 285893316]"
,"[659, 351, 467]","[64714, 70494, 643796113]"
,"[760, 753, 29]","[25891, 8140, 412185853]"
,"[760, 753, 434]","[73746, 88454, 155202817]"
,"[657, 803, 40]","[80709, 3049, 770777531]"
,"[657, 803, 323]","[44954, 97948, 402272066]"
,"[827, 238, 19]","[38510, 87061, 217100672]"
,"[827, 238, 232]","[67762, 9274, 168316039]"
,"[118, 297, 10]","[73525, 95744, 383680558]"
,"[118, 297, 157]","[91209, 71041, 198903394]"
,"[91, 348, 42]","[77675, 35332, 226937597]"
,"[91, 348, 196]","[70679, 4928, 955604397]"
,"[762, 964, 12]","[1800, 24067, 929810293]"
,"[762, 964, 393]","[40609, 12561, 761619937]"
,"[376, 130, 25]","[22231, 53048, 985287365]"
,"[376, 130, 294]","[97382, 4350, 224287708]"
,"[590, 754, 5]","[43662, 40411, 194305514]"
,"[590, 754, 259]","[42216, 83757, 676199500]"
,"[63, 604, 39]","[91397, 73265, 385263040]"
,"[63, 604, 197]","[89733, 81882, 336680604]"
,"[867, 397, 32]","[67041, 5091, 885968735]"
,"[867, 397, 263]","[9290, 24721, 134923439]"
,"[789, 373, 48]","[51099, 35748, 320401799]"
,"[789, 373, 164]","[63609, 28263, 871742483]"
,"[532, 679, 43]","[76727, 72008, 275380538]"
,"[532, 679, 402]","[63019, 4068, 670915445]"
,"[227, 109, 30]","[61622, 85828, 306394149]"
,"[227, 109, 104]","[69330, 99722, 752842477]"
,"[551, 872, 34]","[53836, 82549, 753683399]"
,"[551, 872, 261]","[47116, 27748, 957336507]"
,"[148, 835, 23]","[12622, 22847, 745693590]"
,"[148, 835, 212]","[86480, 72350, 695922771]"
,"[511, 696, 34]","[48353, 48993, 980579864]"
,"[511, 696, 175]","[22445, 58912, 644062142]"
,"[615, 290, 14]","[78883, 26084, 410508062]"
,"[615, 290, 482]","[51711, 23707, 370213256]"
,"[681, 869, 49]","[39624, 66043, 695251815]"
,"[681, 869, 117]","[87056, 84597, 5455645]"
,"[613, 327, 24]","[15162, 82585, 739095050]"
,"[613, 327, 357]","[7187, 29811, 798144428]"
,"[705, 126, 22]","[11058, 59844, 735653347]"
,"[705, 126, 461]","[32973, 85843, 539853380]"
,"[587, 489, 45]","[64204, 3806, 305331723]"
,"[587, 489, 210]","[12277, 69076, 725138339]"
,"[506, 298, 50]","[60911, 96116, 471919620]"
,"[506, 298, 292]","[71469, 49964, 264131111]"
,"[60, 829, 26]","[2393, 59699, 536885226]"
,"[60, 829, 178]","[8508, 68658, 28953903]"
,"[847, 733, 18]","[50131, 45043, 629604096]"
,"[847, 733, 475]","[59747, 30155, 234244500]"
,"[956, 829, 19]","[82357, 69410, 822195269]"
,"[956, 829, 458]","[11931, 39487, 709127468]"
,"[753, 53, 16]","[31314, 41522, 971894623]"
,"[753, 53, 349]","[86232, 95146, 639294465]"
,"[744, 401, 24]","[59099, 26352, 748101249]"
,"[744, 401, 437]","[93457, 26783, 371498251]"
,"[934, 868, 15]","[96178, 10718, 86074166]"
,"[934, 868, 111]","[44837, 47973, 860067459]"
,"[561, 401, 26]","[19393, 33283, 94850013]"
,"[561, 401, 316]","[45636, 95604, 517862126]"
,"[694, 484, 27]","[58374, 78266, 181156597]"
,"[694, 484, 487]","[83724, 43075, 582099510]"
,"[73, 540, 23]","[82355, 92613, 339830692]"
,"[73, 540, 244]","[28325, 3319, 979735378]"
,"[713, 945, 17]","[75181, 18632, 174874391]"
,"[713, 945, 458]","[57159, 49721, 391697929]"
,"[876, 561, 30]","[84024, 67914, 139800189]"
,"[876, 561, 149]","[98193, 82923, 697821758]"
,"[134, 331, 42]","[30911, 86205, 975845832]"
,"[134, 331, 127]","[65985, 14845, 950329838]"
,"[870, 957, 50]","[99165, 35167, 306144880]"
,"[870, 957, 255]","[78090, 24996, 197956172]"
,"[468, 670, 15]","[72464, 79135, 838741998]"
,"[468, 670, 395]","[45460, 44465, 483625740]"
,"[140, 452, 49]","[78944, 14925, 554090404]"
,"[140, 452, 347]","[88349, 7410, 354173514]"
,"[298, 918, 14]","[24784, 98060, 219884775]"
,"[298, 918, 207]","[61890, 95661, 855587964]"
,"[223, 823, 17]","[73553, 99570, 337896394]"
,"[223, 823, 476]","[84939, 15043, 909600375]"
,"[666, 9, 28]","[21989, 20025, 184880885]"
,"[666, 9, 471]","[95511, 74986, 392361049]"
,"[876, 589, 11]","[83252, 81128, 232930833]"
,"[876, 589, 447]","[43898, 85025, 462849811]"
,"[804, 879, 14]","[35615, 54130, 65707707]"
,"[804, 879, 292]","[1735, 47112, 464946026]"
,"[973, 437, 48]","[14852, 38305, 95346495]"
,"[973, 437, 186]","[99030, 6126, 865035493]"
,"[948, 57, 11]","[34986, 73226, 541420272]"
,"[948, 57, 282]","[49878, 66383, 622365196]"
,"[997, 485, 16]","[52369, 44973, 470081325]"
,"[997, 485, 126]","[8414, 89740, 283010564]"
,"[120, 527, 46]","[54963, 66004, 295393228]"
,"[120, 527, 273]","[94261, 87230, 527924119]"
,"[607, 444, 14]","[23794, 66047, 635611202]"
,"[607, 444, 421]","[51952, 29251, 1148080]"
,"[739, 413, 20]","[71376, 16318, 138033549]"
,"[739, 413, 117]","[97773, 89580, 727486377]"
,"[121, 246, 30]","[10727, 77211, 464981969]"
,"[121, 246, 350]","[59017, 83010, 260623618]"
,"[309, 704, 43]","[82561, 79517, 518456841]"
,"[309, 704, 188]","[16042, 19024, 866765693]"
,"[668, 763, 29]","[82363, 49793, 227081249]"
,"[668, 763, 497]","[62959, 88468, 470929217]"
,"[708, 814, 47]","[24112, 62937, 216427114]"
,"[708, 814, 437]","[1518, 84636, 110344774]"
,"[91, 796, 34]","[38335, 4064, 559066776]"
,"[91, 796, 432]","[47712, 3736, 695891323]"
,"[391, 281, 45]","[65036, 5271, 551479323]"
,"[391, 281, 434]","[44930, 10842, 489526214]"
,"[455, 376, 5]","[52979, 58166, 365056484]"
,"[455, 376, 161]","[91688, 10413, 704872244]"
,"[119, 84, 12]","[87460, 52354, 83413294]"
,"[119, 84, 350]","[4044, 16717, 520210353]"
,"[656, 684, 37]","[83624, 57799, 621619465]"
,"[656, 684, 215]","[73353, 66563, 854810510]"
,"[23, 600, 41]","[44638, 31698, 236002677]"
,"[23, 600, 393]","[81920, 77435, 465022717]"
,"[491, 280, 49]","[11889, 80053, 215135952]"
,"[491, 280, 481]","[89788, 67377, 91369289]"
,"[96, 813, 42]","[5710, 62976, 590027574]"
,"[96, 813, 192]","[95841, 18735, 836251123]"
,"[393, 495, 46]","[67143, 31840, 443144019]"
,"[393, 495, 459]","[59525, 79271, 448316495]"
,"[444, 305, 41]","[91781, 92108, 120001820]"
,"[444, 305, 164]","[18224, 95774, 9520706]"
,"[101, 333, 9]","[87143, 64412, 616144756]"
,"[101, 333, 465]","[47384, 74599, 527566193]"
,"[930, 882, 39]","[2155, 81669, 952841442]"
,"[930, 882, 194]","[25344, 20821, 112520969]"
,"[415, 832, 49]","[35453, 14806, 590549169]"
,"[415, 832, 110]","[11020, 88466, 581662819]"
,"[403, 569, 39]","[38701, 29996, 839855160]"
,"[403, 569, 371]","[99435, 79156, 505017979]"
,"[500, 65, 38]","[90398, 81524, 54693538]"
,"[500, 65, 399]","[12301, 64721, 767716433]"
,"[551, 730, 46]","[37204, 2934, 262250508]"
,"[551, 730, 163]","[81774, 58083, 197679839]"
,"[212, 988, 47]","[96703, 24381, 264555093]"
,"[212, 988, 160]","[36432, 22674, 713218497]"
,"[185, 882, 43]","[85814, 11980, 991995669]"
,"[185, 882, 455]","[41852, 39481, 233001184]"
,"[184, 5, 40]","[71153, 4359, 19658446]"
,"[184, 5, 328]","[59810, 16927, 849838758]"
,"[819, 321, 12]","[87655, 74574, 150821826]"
,"[819, 321, 120]","[27462, 55226, 375466066]"
,"[131, 588, 18]","[91250, 58243, 830459896]"
,"[131, 588, 434]","[78941, 68967, 631953098]"
,"[165, 89, 40]","[13595, 37132, 464700233]"
,"[165, 89, 231]","[73387, 44254, 464991336]"
,"[871, 771, 7]","[95215, 33541, 645210645]"
,"[871, 771, 143]","[24233, 20222, 458332535]"
,"[127, 518, 24]","[8033, 32978, 187014963]"
,"[127, 518, 286]","[14285, 63195, 163993158]"
,"[989, 557, 15]","[47377, 95497, 296907191]"
,"[989, 557, 316]","[96547, 4758, 101471151]"
,"[1000, 967, 47]","[33379, 73264, 889821896]"
,"[1000, 967, 100]","[56776, 13039, 159114630]"
,"[254, 307, 7]","[57614, 12324, 985453811]"
,"[254, 307, 365]","[30789, 96556, 769929421]"
,"[926, 801, 23]","[78071, 3295, 356248613]"
,"[926, 801, 437]","[25454, 54133, 138843841]"
,"[546, 455, 13]","[56470, 9258, 470341219]"
,"[546, 455, 395]","[65295, 10797, 725104093]"
,"[502, 711, 25]","[30361, 42900, 221159173]"
,"[502, 711, 367]","[68083, 86012, 625383413]"
,"[932, 360, 43]","[79421, 7372, 609542041]"
,"[932, 360, 375]","[50976, 82799, 629972391]"
,"[522, 214, 49]","[46086, 75154, 312769184]"
,"[522, 214, 150]","[84399, 51215, 642353940]"
,"[678, 839, 7]","[51100, 19793, 609540992]"
,"[678, 839, 221]","[20393, 39467, 8528985]"
,"[37, 192, 14]","[42445, 73230, 711220130]"
,"[37, 192, 253]","[6677, 96327, 475787667]"
,"[876, 852, 18]","[31581, 55333, 985419774]"
,"[876, 852, 168]","[46526, 51479, 85588175]"
,"[616, 565, 18]","[10850, 67346, 691135715]"
,"[616, 565, 402]","[59306, 96841, 811819749]"
,"[367, 284, 13]","[33884, 6646, 766630333]"
,"[367, 284, 473]","[62766, 90637, 278858039]"
,"[637, 432, 9]","[80183, 76927, 732469969]"
,"[637, 432, 381]","[9494, 99715, 915042437]"
,"[261, 266, 29]","[15603, 47387, 891494698]"
,"[261, 266, 432]","[47039, 25954, 668146187]"
,"[925, 167, 30]","[3775, 16302, 380934243]"
,"[925, 167, 333]","[75639, 81813, 923586824]"
,"[85, 967, 21]","[57581, 25122, 429492928]"
,"[85, 967, 446]","[38080, 29893, 849134536]"
,"[435, 962, 49]","[42812, 98196, 29955056]"
,"[435, 962, 173]","[84703, 61522, 50173367]"
,"[548, 208, 9]","[96384, 14885, 674998244]"
,"[548, 208, 422]","[81300, 20710, 809748498]"
,"[750, 275, 45]","[76209, 49092, 3015780]"
,"[750, 275, 456]","[83863, 46394, 915029706]"
,"[661, 197, 50]","[5338, 68026, 452334115]"
,"[661, 197, 290]","[51125, 10322, 7625510]"
,"[577, 673, 46]","[79665, 14003, 787073969]"
,"[577, 673, 361]","[90388, 56657, 387849160]"
,"[619, 167, 31]","[4975, 37244, 677808635]"
,"[619, 167, 178]","[83623, 81337, 210332786]"
,"[323, 806, 32]","[75159, 88849, 751631672]"
,"[323, 806, 294]","[68925, 6756, 844215054]"
,"[26, 987, 43]","[45529, 858, 324678602]"
,"[26, 987, 226]","[40296, 21862, 93652168]"
,"[79, 276, 12]","[68718, 41960, 125304380]"
,"[79, 276, 372]","[16477, 7148, 267540369]"
,"[112, 700, 40]","[84075, 50684, 889639916]"
,"[112, 700, 308]","[19116, 55767, 359846017]"
,"[67, 337, 45]","[98506, 28789, 221981487]"
,"[67, 337, 145]","[49368, 43566, 454801293]"
,"[371, 931, 26]","[38166, 31871, 462681684]"
,"[371, 931, 498]","[74244, 32886, 690595971]"
,"[279, 149, 19]","[23374, 372, 480089861]"
,"[279, 149, 240]","[48511, 36904, 155127746]"
,"[10, 100, 29]","[42183, 45462, 178128253]"
,"[10, 100, 213]","[32047, 38990, 780669898]"
,"[387, 974, 11]","[90964, 74266, 923743544]"
,"[387, 974, 500]","[31953, 93009, 793411757]"
,"[947, 126, 16]","[17396, 36747, 88191246]"
,"[947, 126, 369]","[42518, 88426, 420289082]"
,"[745, 896, 24]","[66043, 72288, 42988107]"
,"[745, 896, 401]","[99325, 86497, 772365584]"
,"[841, 826, 36]","[59393, 18823, 592875839]"
,"[841, 826, 148]","[43712, 56791, 8038460]"
,"[541, 357, 49]","[3725, 63955, 235262396]"
,"[541, 357, 392]","[71469, 69683, 662720241]"
,"[886, 288, 40]","[42404, 2244, 694674980]"
,"[886, 288, 238]","[84898, 15492, 950954439]"
,"[622, 101, 8]","[71785, 770, 989070524]"
,"[622, 101, 187]","[87983, 43508, 85052582]"
,"[325, 969, 29]","[1201, 99434, 836953116]"
,"[325, 969, 192]","[48557, 15326, 746665302]"
,"[353, 825, 48]","[94402, 10474, 612998462]"
,"[353, 825, 372]","[26724, 11103, 807150054]"
,"[564, 608, 30]","[92697, 37265, 339954889]"
,"[564, 608, 344]","[1934, 40820, 121222996]"
,"[606, 130, 21]","[12149, 82479, 392826828]"
